,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,MaxTemperature,WindSpeed
0,busselton,90.0,AU,2019-06-30 22:37:05,75.0,-33.64,115.35,11.67,6.61
1,goderich,0.0,CA,2019-06-30 22:45:34,83.0,43.74,-81.71,20.0,2.68
2,bluff,0.0,AU,2019-06-30 22:41:48,49.0,-23.58,149.07,20.36,4.47
3,rikitea,21.0,PF,2019-06-30 22:43:02,58.0,-23.12,-134.97,20.86,4.71
4,lebu,75.0,ET,2019-06-30 22:45:34,93.0,8.96,38.73,14.0,4.6
5,bambanglipuro,73.0,ID,2019-06-30 22:45:35,81.0,-7.95,110.28,23.36,4.56
6,talnakh,0.0,RU,2019-06-30 22:45:35,76.0,69.49,88.39,10.0,6.0
7,popondetta,97.0,PG,2019-06-30 22:45:35,92.0,-8.77,148.24,21.06,1.45
8,bambous virieux,75.0,MU,2019-06-30 22:42:24,68.0,-20.34,57.76,21.0,5.1
9,port elizabeth,20.0,US,2019-06-30 22:45:35,37.0,39.31,-74.98,31.0,6.2
10,hilo,90.0,US,2019-06-30 22:41:58,65.0,19.71,-155.08,28.0,6.7
11,hasaki,75.0,JP,2019-06-30 22:45:36,100.0,35.73,140.83,22.22,1.0
12,albany,40.0,US,2019-06-30 22:45:36,60.0,42.65,-73.75,24.0,5.7
13,puerto ayora,20.0,EC,2019-06-30 22:45:36,69.0,-0.74,-90.35,25.0,10.8
14,paamiut,0.0,GL,2019-06-30 22:45:36,86.0,61.99,-49.67,2.96,5.95
15,cape town,75.0,ZA,2019-06-30 22:42:14,93.0,-33.93,18.42,12.78,6.7
16,new norfolk,20.0,AU,2019-06-30 22:42:03,50.0,-42.78,147.06,15.56,7.2
17,lambarene,20.0,GA,2019-06-30 22:45:37,86.0,-0.7,10.22,22.16,2.13
18,naron,90.0,ES,2019-06-30 22:45:37,100.0,43.52,-8.15,18.33,2.1
19,siyabuswa,0.0,ZA,2019-06-30 22:45:37,54.0,-25.11,29.06,11.16,2.33
20,sedan,56.0,FR,2019-06-30 22:45:37,67.0,49.7,4.94,20.56,3.6
21,santa maria,20.0,BR,2019-06-30 22:45:38,53.0,-16.02,-48.01,23.0,3.1
